AircraftId,Date,AircraftType,Origin,Destination,DepartureAEST,ArrivalAEST,Duration,,,,,,,,,,,,,,,,,,,
FD602,5/7/2022,PC12,Esperance (EPR / YESP),Leonora (LNO / YLEO),11:38 am,Diverted,NA,,,,,,,,,,,,,,,,,,,
AM273,5/7/2022,B350,Sydney (SYD / YSSY),Port Macquarie (PQQ / YPMQ),11:41 am,12:35 pm,54,,,,,,,,,,,,,,,,,,,
FD416,5/7/2022,BE20,Normanton (YNTN),Mount Isa (ISA / YBMA),11:41 am,12:46 pm,65,,,,,,,,,,,,,,,,,,,
FD425,5/7/2022,BE20,Rockhampton (ROK / YBRK),Bundaberg (BDB / YBUD),11:55 am,12:28 pm,33,,,,,,,,,,,,,,,,,,,
FD609,5/7/2022,PC12,Derby (DRB / YDBY),Lagrange Bay (YLGB),12:04 pm,12:41 pm,37,,,,,,,,,,,,,,,,,,,
FD601,5/7/2022,PC12,Narrogin (YNRG),Jandakot (JAD / YPJT),12:12 pm,12:40 pm,28,,,,,,,,,,,,,,,,,,,
FD874,5/7/2022,PC12,Kalkgurung (KFG / YKKG),Darwin Int'l / RAAF (DRW / YPDN),12:18 pm,1:34 pm,76,,,,,,,,,,,,,,,,,,,
FD480,5/7/2022,B350,Townsville Int'l / RAAF (TSV / YBTL),Mackay (MKY / YBMK),12:20 pm,1:03 pm,43,,,,,,,,,,,,,,,,,,,
FD630J,5/7/2022,PC24,Jandakot (JAD / YPJT),Broome Int'l (BME / YBRM),12:21 pm,2:48 pm,147,,,,,,,,,,,,,,,,,,,
FD456,5/7/2022,BE20,Rockhampton (ROK / YBRK),Brisbane (BNE / YBBN),12:48 pm,1:51 pm,63,,,,,,,,,,,,,,,,,,,
FD248,5/7/2022,BE20,Broken Hill (BHQ / YBHI),Menindee (YMED),12:57 pm,1:21 pm,24,,,,,,,,,,,,,,,,,,,
FD425,5/7/2022,BE20,Bundaberg (BDB / YBUD),Brisbane (BNE / YBBN),1:02 pm,1:46 pm,44,,,,,,,,,,,,,,,,,,,
AM273,5/7/2022,B350,Port Macquarie (PQQ / YPMQ),Newcastle-Williamtown Airport / RAAF (NTL / YWLM),1:10 pm,1:42 pm,32,,,,,,,,,,,,,,,,,,,
FD596,5/7/2022,PC12,Adelaide Int'l (ADL / YPAD),Mount Gambier (MGB / YMTG),1:11 pm,2:07 pm,56,,,,,,,,,,,,,,,,,,,
FD489,5/7/2022,BE20,Rockhampton (ROK / YBRK),Brisbane (BNE / YBBN),1:13 pm,2:14 pm,61,,,,,,,,,,,,,,,,,,,
FD478,5/7/2022,BE20,Roma (RMA / YROM),Brisbane (BNE / YBBN),1:30 pm,2:36 pm,66,,,,,,,,,,,,,,,,,,,
FD609,5/7/2022,PC12,Lagrange Bay (YLGB),Broome Int'l (BME / YBRM),1:42 pm,1:58 pm,16,,,,,,,,,,,,,,,,,,,
